target,flow_actual,UP,DOWN,AMB32,SYS
1300,1307.04,0.652683,0.707047,1082289741,248284999
1300,1302.95,0.652719,0.707241,1082289744,248286959
1350,1319.54,0.65277,0.707438,1082289745,248288919
1350,1348.89,0.652809,0.707629,1082289747,248290879
1350,1356.98,0.652853,0.70782,1082289748,248292839
1350,1358.04,0.652892,0.708005,1082289749,248294799
1350,1354.41,0.652936,0.708185,1082289752,248296759
1400,1368.07,0.652973,0.708367,1082289753,248298719
1400,1396.42,0.65301,0.708547,1082289754,248300679
1400,1406.09,0.653052,0.708722,1082289756,248302639
1400,1408.41,0.653088,0.708896,1082289758,248304599
1400,1405.93,0.653126,0.709072,1082289759,248306559
1450,1417.49,0.653166,0.709251,1082289760,248308519
1450,1445.33,0.653201,0.709422,1082289761,248310479
1450,1455.42,0.653238,0.709587,1082289763,248312439
1450,1458.66,0.653273,0.709757,1082289764,248314399
1450,1456.68,0.653312,0.709923,1082289766,248316309
1500,1468.04,0.653363,0.710176,1082289768,248319293
1500,1498.76,0.653402,0.710345,1082289769,248321255
1500,1507.08,0.653437,0.710504,1082289770,248323215
1500,1508.73,0.653478,0.710663,1082289772,248325175
1500,1505.12,0.653513,0.710832,1082289773,248327135
1550,1518.67,0.653553,0.711006,1082289776,248329095
1550,1547.89,0.653571,0.711121,1082289777,248331055
1550,1556.08,0.653553,0.71089,1082289778,248333015
1550,1558.39,0.653524,0.710463,1082289779,248334975
1550,1556.18,0.653492,0.709947,1082289780,248336935
1600,1568.38,0.653472,0.709384,1082289782,248338895
1600,1596.68,0.653444,0.708786,1082289784,248340855
1600,1605.3,0.653419,0.708205,1082289786,248342815
1600,1608.56,0.653392,0.707619,1082289788,248344775
1600,1607.04,0.65337,0.707023,1082289789,248346735
1650,1618.12,0.653345,0.706416,1082289789,248348695
1650,1646.55,0.653315,0.705802,1082289791,248350655
1650,1654.48,0.653293,0.705212,1082289793,248352615
1650,1657.64,0.653262,0.704632,1082289793,248354575
1650,1656.84,0.653237,0.704056,1082289795,248356535
1700,1668.51,0.653208,0.703468,1082289796,248358495
1700,1695.47,0.653179,0.70288,1082289797,248360455
1700,1704.05,0.653151,0.702328,1082289798,248362365
1700,1707.82,0.653114,0.70153,1082289800,248365349
1700,1707.89,0.65309,0.701013,1082289802,248367311
1750,1719.95,0.653055,0.70049,1082289803,248369271
1750,1747.09,0.653029,0.69995,1082289802,248371231
1750,1754.61,0.653001,0.699463,1082289804,248373191
1750,1757.98,0.652974,0.698987,1082289806,248375151
1750,1757.24,0.652946,0.698504,1082289807,248377111
1800,1769.33,0.652915,0.69801,1082289808,248379071
1800,1797.88,0.652883,0.697534,1082289809,248381031
1800,1804.69,0.652859,0.697093,1082289809,248382991
1800,1807.79,0.65283,0.696675,1082289810,248384951
1800,1807.18,0.652802,0.696244,1082289812,248386911
1850,1819.64,0.652774,0.695809,1082289812,248388871
1850,1847.44,0.652747,0.695367,1082289813,248390831
1850,1854.36,0.652714,0.694958,1082289815,248392791
1850,1857.47,0.652693,0.694571,1082289815,248394751
1850,1857.41,0.652665,0.694176,1082289815,248396711
1900,1869.79,0.65264,0.693784,1082289816,248398671
1900,1896.38,0.652613,0.693387,1082289817,248400631
1900,1903.6,0.652585,0.693021,1082289817,248402591
1900,1907.16,0.652563,0.692676,1082289817,248404551
